"id","sensor_id","value","start_time","end_time","duration","is_original"
5005371,3804,5.5,"""2017-06-02T00:15:00.000Z""","""2017-06-02T00:45:00.000Z""",1800,1
5005640,3804,4.6666667,"""2017-06-02T00:45:00.000Z""","""2017-06-02T01:00:00.000Z""",900,1
5005841,3804,2,"""2017-06-02T01:00:00.000Z""","""2017-06-02T01:15:00.000Z""",900,1
5005979,3804,4,"""2017-06-02T01:15:00.000Z""","""2017-06-02T01:30:00.000Z""",900,1
5006104,3804,5,"""2017-06-02T01:30:00.000Z""","""2017-06-02T01:45:00.000Z""",900,1
5006224,3804,3,"""2017-06-02T01:45:00.000Z""","""2017-06-02T02:00:00.000Z""",900,1
5006354,3804,4,"""2017-06-02T02:00:00.000Z""","""2017-06-02T02:15:00.000Z""",900,1
5006477,3804,3.5,"""2017-06-02T02:15:00.000Z""","""2017-06-02T02:30:00.000Z""",900,1
5006604,3804,112,"""2017-06-02T02:30:00.000Z""","""2017-06-02T02:45:00.000Z""",900,1
5006735,3804,4.6666667,"""2017-06-02T02:45:00.000Z""","""2017-06-02T03:00:00.000Z""",900,1
5006846,3804,2.6666667,"""2017-06-02T03:00:00.000Z""","""2017-06-02T03:15:00.000Z""",900,1
5006988,3804,6,"""2017-06-02T03:15:00.000Z""","""2017-06-02T04:00:00.000Z""",2700,1
5007592,3804,4.5,"""2017-06-02T04:00:00.000Z""","""2017-06-02T04:15:00.000Z""",900,1
5007740,3804,108,"""2017-06-02T04:15:00.000Z""","""2017-06-02T04:30:00.000Z""",900,1
5007876,3804,102,"""2017-06-02T04:30:00.000Z""","""2017-06-02T04:45:00.000Z""",900,1
5008020,3804,68.6666667,"""2017-06-02T04:45:00.000Z""","""2017-06-02T05:00:00.000Z""",900,1
5008091,3804,4,"""2017-06-02T05:00:00.000Z""","""2017-06-02T05:15:00.000Z""",900,1
5008143,3804,4.6666667,"""2017-06-02T05:15:00.000Z""","""2017-06-02T05:30:00.000Z""",900,1
5008194,3804,5,"""2017-06-02T05:30:00.000Z""","""2017-06-02T05:45:00.000Z""",900,1
5008243,3804,5,"""2017-06-02T05:45:00.000Z""","""2017-06-02T06:00:00.000Z""",900,1
5008298,3804,5,"""2017-06-02T06:00:00.000Z""","""2017-06-02T06:15:00.000Z""",900,1
5008350,3804,3,"""2017-06-02T06:15:00.000Z""","""2017-06-02T07:00:00.000Z""",2700,1
5008487,3804,4,"""2017-06-02T07:00:00.000Z""","""2017-06-02T07:15:00.000Z""",900,1
5008539,3804,5,"""2017-06-02T07:15:00.000Z""","""2017-06-02T07:30:00.000Z""",900,1
5008586,3804,6,"""2017-06-02T07:30:00.000Z""","""2017-06-02T08:00:00.000Z""",1800,1
5008678,3804,4,"""2017-06-02T08:00:00.000Z""","""2017-06-02T08:30:00.000Z""",1800,1
5008821,3804,6,"""2017-06-02T08:30:00.000Z""","""2017-06-02T08:45:00.000Z""",900,1
5008919,3804,5,"""2017-06-02T08:45:00.000Z""","""2017-06-02T09:00:00.000Z""",900,1
5009043,3804,5,"""2017-06-02T09:00:00.000Z""","""2017-06-02T09:15:00.000Z""",900,1
5009157,3804,4,"""2017-06-02T09:15:00.000Z""","""2017-06-02T09:30:00.000Z""",900,1
5009288,3804,5,"""2017-06-02T09:30:00.000Z""","""2017-06-02T10:15:00.000Z""",2700,1
5009673,3804,5.5,"""2017-06-02T10:15:00.000Z""","""2017-06-02T10:30:00.000Z""",900,1
5009830,3804,5,"""2017-06-02T10:30:00.000Z""","""2017-06-02T10:45:00.000Z""",900,1
5009957,3804,6,"""2017-06-02T10:45:00.000Z""","""2017-06-02T11:00:00.000Z""",900,1
5010111,3804,5,"""2017-06-02T11:00:00.000Z""","""2017-06-02T11:15:00.000Z""",900,1
5010343,3804,8,"""2017-06-02T11:15:00.000Z""","""2017-06-02T11:30:00.000Z""",900,1
5010521,3804,5,"""2017-06-02T11:30:00.000Z""","""2017-06-02T11:45:00.000Z""",900,1
5010709,3804,4.5,"""2017-06-02T11:45:00.000Z""","""2017-06-02T12:00:00.000Z""",900,1
5010888,3804,6,"""2017-06-02T12:00:00.000Z""","""2017-06-02T12:15:00.000Z""",900,1
5011050,3804,8.3333333,"""2017-06-02T12:15:00.000Z""","""2017-06-02T12:30:00.000Z""",900,1
5011230,3804,15.6666667,"""2017-06-02T12:30:00.000Z""","""2017-06-02T12:45:00.000Z""",900,1
5011612,3804,148,"""2017-06-02T12:45:00.000Z""","""2017-06-02T13:00:00.000Z""",900,1
5011943,3804,139,"""2017-06-02T13:00:00.000Z""","""2017-06-02T13:15:00.000Z""",900,1
5012066,3804,95.5,"""2017-06-02T13:15:00.000Z""","""2017-06-02T13:30:00.000Z""",900,1
5012194,3804,56,"""2017-06-02T13:30:00.000Z""","""2017-06-02T13:45:00.000Z""",900,1
5012339,3804,54,"""2017-06-02T13:45:00.000Z""","""2017-06-02T14:00:00.000Z""",900,1
5012416,3804,53,"""2017-06-02T14:00:00.000Z""","""2017-06-02T14:15:00.000Z""",900,1
5012524,3804,44,"""2017-06-02T14:15:00.000Z""","""2017-06-02T14:45:00.000Z""",1800,1
5012731,3804,53,"""2017-06-02T14:45:00.000Z""","""2017-06-02T15:00:00.000Z""",900,1
5012852,3804,60.6666667,"""2017-06-02T15:00:00.000Z""","""2017-06-02T15:30:00.000Z""",1800,1
5013105,3804,66,"""2017-06-02T15:30:00.000Z""","""2017-06-02T15:45:00.000Z""",900,1
5013202,3804,70.5,"""2017-06-02T15:45:00.000Z""","""2017-06-02T16:00:00.000Z""",900,1
5013283,3804,75,"""2017-06-02T16:00:00.000Z""","""2017-06-02T16:15:00.000Z""",900,1
5013385,3804,82.5,"""2017-06-02T16:15:00.000Z""","""2017-06-02T16:30:00.000Z""",900,1
5013464,3804,92,"""2017-06-02T16:30:00.000Z""","""2017-06-02T16:45:00.000Z""",900,1
5013572,3804,93,"""2017-06-02T16:45:00.000Z""","""2017-06-02T17:45:00.000Z""",3600,1
5013981,3804,139,"""2017-06-02T17:45:00.000Z""","""2017-06-02T18:00:00.000Z""",900,1
5014034,3804,127,"""2017-06-02T18:00:00.000Z""","""2017-06-02T18:15:00.000Z""",900,1
5014124,3804,131.5,"""2017-06-02T18:15:00.000Z""","""2017-06-02T18:30:00.000Z""",900,1
5014217,3804,142,"""2017-06-02T18:30:00.000Z""","""2017-06-02T19:15:00.000Z""",2700,1
5014484,3804,180,"""2017-06-02T19:15:00.000Z""","""2017-06-02T19:45:00.000Z""",1800,1
5014623,3804,162.5,"""2017-06-02T19:45:00.000Z""","""2017-06-02T20:00:00.000Z""",900,1
5014714,3804,91.3333333,"""2017-06-02T20:00:00.000Z""","""2017-06-02T20:15:00.000Z""",900,1
5014780,3804,100,"""2017-06-02T20:15:00.000Z""","""2017-06-02T20:45:00.000Z""",1800,1
5015039,3804,68.3333333,"""2017-06-02T20:45:00.000Z""","""2017-06-02T21:00:00.000Z""",900,1
5015207,3804,55,"""2017-06-02T21:00:00.000Z""","""2017-06-02T21:15:00.000Z""",900,1
5015317,3804,79,"""2017-06-02T21:15:00.000Z""","""2017-06-02T21:30:00.000Z""",900,1
5015381,3804,83,"""2017-06-02T21:30:00.000Z""","""2017-06-02T21:45:00.000Z""",900,1
5015459,3804,56.75,"""2017-06-02T21:45:00.000Z""","""2017-06-02T22:45:00.000Z""",3600,1
5015732,3804,48,"""2017-06-02T22:45:00.000Z""","""2017-06-02T23:00:00.000Z""",900,1
5015875,3804,32,"""2017-06-02T23:00:00.000Z""","""2017-06-02T23:15:00.000Z""",900,1
5015971,3804,131,"""2017-06-02T23:15:00.000Z""","""2017-06-02T23:30:00.000Z""",900,1
5016094,3804,14,"""2017-06-02T23:30:00.000Z""","""2017-06-03T00:00:00.000Z""",1800,1
5016313,3804,0,"""2017-06-03T00:00:00.000Z""","""2017-06-03T00:15:00.000Z""",900,1
5016395,3804,5,"""2017-06-03T00:15:00.000Z""","""2017-06-03T00:45:00.000Z""",1800,1
5016540,3804,5,"""2017-06-03T00:45:00.000Z""","""2017-06-03T01:15:00.000Z""",1800,1
5016796,3804,8,"""2017-06-03T01:15:00.000Z""","""2017-06-03T01:30:00.000Z""",900,1
5016922,3804,3,"""2017-06-03T01:30:00.000Z""","""2017-06-03T02:00:00.000Z""",1800,1
5017162,3804,67,"""2017-06-03T02:00:00.000Z""","""2017-06-03T02:15:00.000Z""",900,1
5017280,3804,8,"""2017-06-03T02:15:00.000Z""","""2017-06-03T02:45:00.000Z""",1800,1
5017609,3804,4.5,"""2017-06-03T02:45:00.000Z""","""2017-06-03T03:00:00.000Z""",900,1
5017747,3804,4,"""2017-06-03T03:00:00.000Z""","""2017-06-03T03:15:00.000Z""",900,1
5017867,3804,4.5,"""2017-06-03T03:15:00.000Z""","""2017-06-03T03:30:00.000Z""",900,1
5018133,3804,5,"""2017-06-03T03:30:00.000Z""","""2017-06-03T04:00:00.000Z""",1800,1
5018644,3804,4,"""2017-06-03T04:00:00.000Z""","""2017-06-03T04:15:00.000Z""",900,1
5018804,3804,5,"""2017-06-03T04:15:00.000Z""","""2017-06-03T04:30:00.000Z""",900,1
5018956,3804,4,"""2017-06-03T04:30:00.000Z""","""2017-06-03T05:15:00.000Z""",2700,1
5019290,3804,4,"""2017-06-03T05:15:00.000Z""","""2017-06-03T05:30:00.000Z""",900,1
5019394,3804,5,"""2017-06-03T05:30:00.000Z""","""2017-06-03T05:45:00.000Z""",900,1
5019509,3804,5,"""2017-06-03T05:45:00.000Z""","""2017-06-03T06:00:00.000Z""",900,1
5019646,3804,3.5,"""2017-06-03T06:00:00.000Z""","""2017-06-03T06:15:00.000Z""",900,1
5019703,3804,5.3333333,"""2017-06-03T06:15:00.000Z""","""2017-06-03T06:30:00.000Z""",900,1
5019750,3804,4.3333333,"""2017-06-03T06:30:00.000Z""","""2017-06-03T06:45:00.000Z""",900,1
5019811,3804,5,"""2017-06-03T06:45:00.000Z""","""2017-06-03T07:00:00.000Z""",900,1
5019857,3804,4.75,"""2017-06-03T07:00:00.000Z""","""2017-06-03T07:15:00.000Z""",900,1
5019913,3804,4.6666667,"""2017-06-03T07:15:00.000Z""","""2017-06-03T07:30:00.000Z""",900,1
5019987,3804,5,"""2017-06-03T07:30:00.000Z""","""2017-06-03T08:00:00.000Z""",1800,1
5020170,3804,4,"""2017-06-03T08:00:00.000Z""","""2017-06-03T08:15:00.000Z""",900,1
5020246,3804,5.3333333,"""2017-06-03T08:15:00.000Z""","""2017-06-03T08:30:00.000Z""",900,1
5020476,3804,4,"""2017-06-03T08:30:00.000Z""","""2017-06-03T08:45:00.000Z""",900,1
5020732,3804,6,"""2017-06-03T08:45:00.000Z""","""2017-06-03T09:00:00.000Z""",900,1
5020825,3804,5.5,"""2017-06-03T09:00:00.000Z""","""2017-06-03T09:15:00.000Z""",900,1
5020936,3804,4.5,"""2017-06-03T09:15:00.000Z""","""2017-06-03T09:30:00.000Z""",900,1
5020998,3804,6,"""2017-06-03T09:30:00.000Z""","""2017-06-03T09:45:00.000Z""",900,1
5021109,3804,5,"""2017-06-03T09:45:00.000Z""","""2017-06-03T10:00:00.000Z""",900,1
5021186,3804,3.5,"""2017-06-03T10:00:00.000Z""","""2017-06-03T10:15:00.000Z""",900,1
